Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;Dato;Tid;Prøvetagningsnummer;Prøvenummer;Dybde (m);Prøvetagningsudstyr;Prøveredskabsareal (cm2);Prøvebemærkninger;Pprøvtagnings Breddegrad;Prøvetagnings Længdegrad;Provetagnings X_UTM;Proevetagnings Y_UTM;Artsrække;Artsnavn;Antal (stk);Biomasse vådvægt (g);Biomasse tørvægt (g);Askefri tørvægt (g);Kontrol;Kvalitet;Kvalitetsnote
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"1";"1";"55,5";"Haps";"143";"";"56,66735";"12,1176833333333";"691042";"6284702";"Annelida";"Heteromastus filiformis";"1";"0,0009";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"1";"1";"55,5";"Haps";"143";"";"56,66735";"12,1176833333333";"691042";"6284702";"Echinodermata";"Amphiura filiformis";"10";"0,2032";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"1";"1";"55,5";"Haps";"143";"";"56,66735";"12,1176833333333";"691042";"6284702";"Arthropoda";"Ampelisca tenuicornis";"1";"0,0009";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"1";"1";"55,5";"Haps";"143";"";"56,66735";"12,1176833333333";"691042";"6284702";"Echinodermata";"Brissopsis lyrifera";"1";"15,4803";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"1";"1";"55,5";"Haps";"143";"";"56,66735";"12,1176833333333";"691042";"6284702";"Mollusca";"Hyala vitrea";"3";"0,005";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"1";"1";"55,5";"Haps";"143";"";"56,66735";"12,1176833333333";"691042";"6284702";"Echinodermata";"Amphiura chiajei";"2";"0,1066";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"1";"1";"55,5";"Haps";"143";"";"56,66735";"12,1176833333333";"691042";"6284702";"Annelida";"Pholoe pallida";"3";"0,0057";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"1";"1";"55,5";"Haps";"143";"";"56,66735";"12,1176833333333";"691042";"6284702";"Mollusca";"Tellimya tenella";"1";"0,0026";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"2";"1";"56,1";"Haps";"143";"";"56,6676166666667";"12,1173166666667";"691018";"6284731";"Annelida";"Pherusa plumosa";"3";"0,0437";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"2";"1";"56,1";"Haps";"143";"";"56,6676166666667";"12,1173166666667";"691018";"6284731";"Annelida";"Maldanidae indet.";"1";"0,0169";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"2";"1";"56,1";"Haps";"143";"";"56,6676166666667";"12,1173166666667";"691018";"6284731";"Mollusca";"Cylichna cylindracea";"1";"0,0065";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"2";"1";"56,1";"Haps";"143";"";"56,6676166666667";"12,1173166666667";"691018";"6284731";"Echinodermata";"Amphiura filiformis";"18";"0,1096";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"2";"1";"56,1";"Haps";"143";"";"56,6676166666667";"12,1173166666667";"691018";"6284731";"Annelida";"Pholoe baltica";"1";"0,0002";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"2";"1";"56,1";"Haps";"143";"";"56,6676166666667";"12,1173166666667";"691018";"6284731";"Mollusca";"Hyala vitrea";"27";"0,0611";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"2";"1";"56,1";"Haps";"143";"";"56,6676166666667";"12,1173166666667";"691018";"6284731";"Echinodermata";"Amphiura chiajei";"3";"0,155";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"2";"1";"56,1";"Haps";"143";"";"56,6676166666667";"12,1173166666667";"691018";"6284731";"Annelida";"Glycera rouxii";"1";"0,8836";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"2";"1";"56,1";"Haps";"143";"";"56,6676166666667";"12,1173166666667";"691018";"6284731";"Annelida";"Lipobranchus jeffreysii";"1";"0,097";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"2";"1";"56,1";"Haps";"143";"";"56,6676166666667";"12,1173166666667";"691018";"6284731";"Annelida";"Lumbrineris fragilis";"1";"0,0228";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"3";"1";"56,5";"Haps";"143";"";"56,6677666666667";"12,1171";"691004";"6284747";"Arthropoda";"Eudorella emarginata";"1";"0,004";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"3";"1";"56,5";"Haps";"143";"";"56,6677666666667";"12,1171";"691004";"6284747";"Annelida";"Diplocirrus glaucus";"1";"0,0017";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"3";"1";"56,5";"Haps";"143";"";"56,6677666666667";"12,1171";"691004";"6284747";"Phoronida";"Phoronis sp.";"1";"0,0016";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"3";"1";"56,5";"Haps";"143";"";"56,6677666666667";"12,1171";"691004";"6284747";"Echinodermata";"Amphiura filiformis";"14";"0,1252";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"3";"1";"56,5";"Haps";"143";"";"56,6677666666667";"12,1171";"691004";"6284747";"Mollusca";"Chaetoderma nitidulum";"1";"0,0027";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"3";"1";"56,5";"Haps";"143";"";"56,6677666666667";"12,1171";"691004";"6284747";"Arthropoda";"Leucon nasica";"1";"0,0032";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"3";"1";"56,5";"Haps";"143";"";"56,6677666666667";"12,1171";"691004";"6284747";"Mollusca";"Hyala vitrea";"3";"0,0109";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"3";"1";"56,5";"Haps";"143";"";"56,6677666666667";"12,1171";"691004";"6284747";"Echinodermata";"Amphiura chiajei";"4";"0,175";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"3";"1";"56,5";"Haps";"143";"";"56,6677666666667";"12,1171";"691004";"6284747";"Priapulida/Sipuncula/Echiura";"Sipuncula indet.";"2";"0,0004";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"4";"1";"57,4";"Haps";"143";"";"56,6680333333333";"12,1167333333333";"690980";"6284776";"Annelida";"Trochochaeta multisetosa";"1";"0,1366";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"4";"1";"57,4";"Haps";"143";"";"56,6680333333333";"12,1167333333333";"690980";"6284776";"Mollusca";"Abra nitida";"1";"0,0052";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"4";"1";"57,4";"Haps";"143";"";"56,6680333333333";"12,1167333333333";"690980";"6284776";"Echinodermata";"Amphiura filiformis";"7";"0,0263";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"4";"1";"57,4";"Haps";"143";"";"56,6680333333333";"12,1167333333333";"690980";"6284776";"Mollusca";"Nucula nitidosa";"1";"0,0012";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"4";"1";"57,4";"Haps";"143";"";"56,6680333333333";"12,1167333333333";"690980";"6284776";"Mollusca";"Thyasira flexuosa";"1";"0,0165";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"4";"1";"57,4";"Haps";"143";"";"56,6680333333333";"12,1167333333333";"690980";"6284776";"Mollusca";"Hyala vitrea";"7";"0,015";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"4";"1";"57,4";"Haps";"143";"";"56,6680333333333";"12,1167333333333";"690980";"6284776";"Echinodermata";"Amphiura chiajei";"1";"0,0014";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"4";"1";"57,4";"Haps";"143";"";"56,6680333333333";"12,1167333333333";"690980";"6284776";"Mollusca";"Tellina tenuis";"1";"0,0014";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"5";"1";"58,3";"Haps";"143";"";"56,6682833333333";"12,1164333333333";"690960";"6284803";"Annelida";"Pherusa plumosa";"1";"0,0011";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"5";"1";"58,3";"Haps";"143";"";"56,6682833333333";"12,1164333333333";"690960";"6284803";"Mollusca";"Abra nitida";"1";"0,0023";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"5";"1";"58,3";"Haps";"143";"";"56,6682833333333";"12,1164333333333";"690960";"6284803";"Annelida";"Maldane sarsi";"1";"0,0254";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"5";"1";"58,3";"Haps";"143";"";"56,6682833333333";"12,1164333333333";"690960";"6284803";"Echinodermata";"Amphiura filiformis";"17";"0,2034";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"5";"1";"58,3";"Haps";"143";"";"56,6682833333333";"12,1164333333333";"690960";"6284803";"Echinodermata";"Amphiura chiajei";"3";"0,0955";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"5";"1";"58,3";"Haps";"143";"";"56,6682833333333";"12,1164333333333";"690960";"6284803";"Annelida";"Pholoe pallida";"2";"0,0013";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"5";"1";"58,3";"Haps";"143";"";"56,6682833333333";"12,1164333333333";"690960";"6284803";"Annelida";"Paramphinome jeffreysii";"1";"0,0016";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"5";"1";"58,3";"Haps";"143";"";"56,6682833333333";"12,1164333333333";"690960";"6284803";"Mollusca";"Ennucula tenuis";"1";"0,0056";"";"";"C, Faglig kontrol";"Godkendt";""
