"os_nr","os_navn","Dato","Tid","psal","DKI","DKI_pooled","diff"
90000958,"413",20230511,1200,33.6972826086957,0.731087543710948,0.733007521431324,0.00191997772037555
90000961,"444",20230227,1200,15.77694,0.684215008811749,0.689632263764044,0.00541725495229539
91000051,"HSD_G_OCM",20230422,1200,34.5001,0.698241077697879,0.698600041474246,0.000358963776366905
91000078,"DMU1025",20230421,1200,34.3767,0.705259021209451,0.700580212706225,-0.00467880850322522
91000079,"DMU1026",20230421,1200,34.4746,0.649329531244873,0.64798197435803,-0.00134755688684307
91000080,"DMU1027",20230422,1200,34.5001,0.693513746197781,0.695450836431674,0.00193709023389244
91000081,"DMU1044",20230421,1200,34.1244,0.516831796246662,0.513558327540196,-0.00327346870646661
91000082,"DMU1046",20230423,1200,34.6604,0.742244238755602,0.740831153853056,-0.00141308490254544
91000083,"DMU1047",20230423,1200,34.43145,0.573976620337917,0.574077399191199,0.000100778853281636
91000084,"DMU1048",20230423,1200,34.72505,0.783022551403194,0.78407343588367,0.00105088448047663
91000085,"DMU1052",20230426,1200,31.7069,0.865326271896285,0.866139737155464,0.000813465259178803
91000086,"DMU1072",20230424,1200,34.2435,0.605859271737934,0.605642596271687,-0.000216675466246596
91000099,"HSD_G_SB_OCS",20230421,1200,34.4746,0.889696655731486,0.894016984794263,0.00432032906277702
91000100,"HSD_B_CS",20230420,1200,34.1474,0.852105197238105,0.851402927526422,-0.000702269711682635
91000101,"HSD_F_SB_OCS",20230419,1200,34.88985,0.893266177767864,0.891222851729108,-0.00204332603875579
91000102,"HSD_F_SB_ref_OCS",20230419,1200,34.88985,0.921910898242518,0.920504615482454,-0.00140628276006449
91000103,"HSD_C_SB_CS",20230418,1200,33.79175,0.580711079660196,0.568791638091762,-0.0119194415684346
91200013,"Thyborøn habitat",20230420,1200,34.1474,0.778566706995488,0.770653508821482,-0.00791319817400649
91200019,"Thorsminde habitat",20230424,1200,6.094515,1.08993312921274,1.11430843821021,0.0243753089974683
91320090,"BF_RIN",20230419,1200,14.1410888888889,0.820895408633311,0.824007179786013,0.00311177115270267
91650023,"LISD0012",20230530,1200,28.96055,0.47426545486539,0.47413403042432,-0.000131424441070449
91650026,"LISD0015",20230418,1200,28.96055,0.375948088849063,0.374876742720584,-0.00107134612847909
91650028,"LISD0017",20230417,1200,28.96055,0.575306442699389,0.567036353413674,-0.00827008928571438
91650030,"LISD0022",20230417,1200,28.96055,0.313524945352289,0.314216511246943,0.000691565894654245
91650033,"LISD0025",20230417,1200,28.96055,0.261433946312255,0.261433946312255,0
91650035,"LISD0027",20230417,1200,28.96055,0.461823056402868,0.476035884391206,0.0142128279883382
92000070,"DMU1133",20230418,1200,34.88985,0.605291100930414,0.603258478509235,-0.00203262242117908
92110008,"2210",20230417,1200,33.5170466666667,0.784261537250416,0.786743470156717,0.00248193290630028
93000154,"Område e",20230524,1200,31.4531,0.87619607682908,0.876912940165706,0.000716863336625906
