"os_nr","os_navn","Dato","Tid","AMBI","H","S","fNA","N","psal","DKI"
90000958,"413",20230511,1200,1.0650623885918,3.10716607854775,37,0,307,33.6972826086957,0.731323496615926
90000961,"444",20230227,1200,2.74252136752137,2.10974009263008,6,0,53,15.77694,0.689632263764044
91000051,"HSD_G_OCM",20230422,1200,1.46983394060038,3.06536179890696,71,0.013277428371768,1431,34.5001,0.695996100236647
91000078,"DMU1025",20230421,1200,1.42511050139567,3.05188363550423,72,0,2293,34.3767,0.698674801780285
91000079,"DMU1026",20230421,1200,1.61850933680206,2.6579731321149,67,0,2122,34.4746,0.645605864523602
91000080,"DMU1027",20230422,1200,1.44323206567444,2.99162551052308,73,0.00106269925611052,1882,34.5001,0.690763926081041
91000081,"DMU1044",20230421,1200,1.34954813728308,1.06476200026365,38,0,4915,34.1244,0.508886682894164
91000082,"DMU1046",20230423,1200,1.6653269984745,3.64910060481815,62,0,1374,34.6604,0.738420003226914
91000083,"DMU1047",20230423,1200,1.54473174297806,1.80044977397025,51,0.000645994832041344,1548,34.43145,0.56657154281617
91000084,"DMU1048",20230423,1200,1.59054293555468,4.04218747764989,64,0,746,34.72505,0.781373384098498
91000085,"DMU1052",20230426,1200,0.878279783705162,4.15552880847491,43,0.00632911392405063,316,31.7069,0.863478497217048
91000086,"DMU1072",20230424,1200,1.27590490328402,1.98469452898355,69,0.000661084178052005,4538,34.2435,0.604771497339064
91000099,"HSD_G_SB_OCS",20230421,1200,1.3796985803433,5.47056733749943,81,0.0147368421052632,475,34.4746,0.899552311716884
91000100,"HSD_B_CS",20230420,1200,1.20389837067107,4.55100705701548,54,0.0182370820668693,329,34.1474,0.861647249686287
91000101,"HSD_F_SB_OCS",20230419,1200,1.4407677138997,5.74990069803546,105,0.0099601593625498,502,34.88985,0.895300992506581
91000102,"HSD_F_SB_ref_OCS",20230419,1200,1.06037431588867,5.29423921528049,70,0.0216867469879518,415,34.88985,0.922031847370411
