"Artsnavn","species","AMBI","AMBI_group"
"AMPHIPODA","Amphipoda",FALSE,
"ANTHURIDAE","Anthuridae",TRUE,1
"Abra alba","Abra alba",TRUE,3
"Abra nitida","Abra nitida",TRUE,3
"Abra prismatica","Abra prismatica",TRUE,1
"Acanthocardia echinata","Acanthocardia echinata",TRUE,1
"Acanthodoris pilosa","Acanthodoris pilosa",TRUE,2
"Acidostoma obesum","Acidostoma obesum",TRUE,1
"Acteon tornatilis","Acteon tornatilis",TRUE,1
"Actiniaria indet.","Actiniaria",TRUE,2
"Akera bullata","Akera bullata",TRUE,1
"Alcyonium digitatum","Alcyonium digitatum",TRUE,1
"Alitta succinea","Alitta succinea",TRUE,3
"Alitta virens","Alitta virens",TRUE,3
"Alkmaria romijni","Alkmaria romijni",TRUE,3
"Ammodytes tobianus","Ammodytes tobianus",TRUE,0
"Ampelisca brevicornis","Ampelisca brevicornis",TRUE,1
"Ampelisca diadema","Ampelisca diadema",TRUE,2
"Ampelisca sp.","Ampelisca sp.",TRUE,1
"Ampelisca tenuicornis","Ampelisca tenuicornis",TRUE,1
"Ampelisca typica","Ampelisca typica",TRUE,1
"Ampharete baltica","Ampharete baltica",TRUE,2
"Ampharete finmarchica","Ampharete finmarchica",TRUE,1
"Ampharete lindstroemi","Ampharete lindstroemi",TRUE,1
"Ampharete sp.","Ampharete sp.",TRUE,0
"Ampharetidae indet.","Ampharetidae",TRUE,2
"Amphibalanus improvisus","Amphibalanus improvisus",TRUE,3
"Amphilochoides odontonyx","Amphilochoides odontonyx",TRUE,2
"Amphilochoides serratipes","Amphilochoides serratipes",TRUE,2
"Amphipoda indet.","Amphipoda",FALSE,
"Amphiura chiajei","Amphiura chiajei",TRUE,2
"Amphiura filiformis","Amphiura filiformis",TRUE,2
"Amphiura sp.","Amphiura sp.",TRUE,2
"Anobothrus gracilis","Anobothrus gracilis",TRUE,3
"Anoplodactylus petiolatus","Anoplodactylus petiolatus",TRUE,2
"Antalis entalis","Antalis entalis",TRUE,1
"Anthozoa indet.","Anthozoa",TRUE,2
"Anthrenochernes stellae","Anthrenochernes stellae",FALSE,
"Aonides paucibranchiata","Aonides paucibranchiata",TRUE,3
"Aoridae indet.","Aoridae",TRUE,1
"Aphelochaeta marioni","Aphelochaeta marioni",TRUE,4
"Apherusa bispinosa","Apherusa bispinosa",TRUE,1
"Aphrodita aculeata","Aphrodita aculeata",TRUE,1
"Apistobranchus tullbergi","Apistobranchus tullbergi",TRUE,1
"Aporrhais pespelecani","Aporrhais pespelecani",TRUE,1
"Apseudes spinosus","Apseudes spinosus",TRUE,1
"Arctica islandica","Arctica islandica",TRUE,3
"Arcturella dilatata","Arcturella dilatata",TRUE,2
"Arenicola marina","Arenicola marina",TRUE,3
"Argissa hamatipes","Argissa hamatipes",TRUE,1
"Aricidea minuta","Aricidea minuta",TRUE,1
"Aricidea sp.","Aricidea sp.",TRUE,1
"Aricidea suecica","Aricidea suecica",TRUE,1
"Ascidiacea indet.","Ascidiacea",TRUE,3
"Ascidiella aspersa","Ascidiella aspersa",TRUE,3
"Ascidiella scabra","Ascidiella scabra",TRUE,3
"Astarte borealis","Astarte borealis",TRUE,1
"Astarte elliptica","Astarte elliptica",TRUE,1
"Astarte montagui","Astarte montagui",TRUE,1
"Astarte sp.","Astarte sp.",TRUE,1
"Astarte sulcata","Astarte sulcata",TRUE,1
"Asterias rubens","Asterias rubens",TRUE,3
"Asteroidea indet.","Asteroidea",TRUE,1
"Astropecten irregularis","Astropecten irregularis",TRUE,1
"Astrorhiza  limicola","Astrorhiza limicola",FALSE,
"Athanas nitescens","Athanas nitescens",TRUE,1
"Atylus swammerdami","Nototropis swammerdamei",TRUE,1
"Atylus vedlomensis","Atylus vedlomensis",TRUE,1
"Balanidae indet.","Balanidae",FALSE,
"Balanus crenatus","Balanus crenatus",TRUE,2
"Balanus sp.","Balanus",FALSE,
"Baltidrilus costatus","Baltidrilus costatus",TRUE,5
"Barnea candida","Barnea candida",TRUE,1
"Bathyporeia elegans","Bathyporeia elegans",TRUE,1
"Bathyporeia gracilis","Bathyporeia gracilis",TRUE,1
"Bathyporeia guilliamsoniana","Bathyporeia guilliamsoniana",TRUE,1
"Bathyporeia pelagica","Bathyporeia pelagica",TRUE,1
"Bathyporeia pilosa","Bathyporeia pilosa",TRUE,1
"Bathyporeia sarsi","Bathyporeia sarsi",TRUE,1
"Bathyporeia sp.","Bathyporeia sp.",TRUE,1
"Bathyporeia tenuipes","Bathyporeia tenuipes",TRUE,1
"Bela nebula","Bela nebula",TRUE,1
"Bittium reticulatum","Bittium reticulatum",TRUE,1
