Artsnavn,species
AMPHIPODA,Amphipoda
Amphipoda indet.,Amphipoda
Anthrenochernes stellae,Anthrenochernes stellae
Astrorhiza  limicola,Astrorhiza limicola
Atylus swammerdami,Atylus swammerdami
Balanidae indet.,Balanidae
Balanus sp.,Balanus sp.
Bivalvia indet.,Bivalvia
Brachyura indet.,Brachyura
Calanoida indet.,Calanoida
Callinassa subterranea,Callinassa subterranea
Campanulariidae indet.,Campanulariidae
Caudofoveata indet.,Caudofoveata
Caulleriella sp.,Caulleriella sp.
Cheirocratus sundevalli,Cheirocratus sundevalli
Copepoda indet.,Copepoda
Corophium bonelli,Corophium bonelli
Crustacea indet.,Crustacea
DONACIA,Donacia
Diastyloides biplicata,Diastyloides biplicata
EULIMIDAE,Eulimidae
Foraminifera,Foraminifera
Gastropoda indet.,Gastropoda
Gattyana cirrosa,Gattyana cirrosa
Gnathia oxyurea,Gnathia oxyurea
Gobiidae indet.,Gobiidae
Goniadella bobretzkii,Goniadella bobretzkii
Hemilamprops rosea,Hemilamprops rosea
Hydracarina indet.,Hydracarina
Hydrobius sp.,Hydrobius sp.
Idotea viridis,Idotea viridis
Isaeidae indet.,Isaeidae
Lapidoplax buski,Lapidoplax buski
Lepidepecreum longicorne,Lepidepecreum longicorne
Lepidochitona cinereus,Lepidochitona cinereus
Lepidoptera indet.,Lepidoptera
Lipobranchus jeffreysii,Lipobranchus jeffreysii
Macropodia rostata,Macropodia rostata
Nemertini indet.,Nemertini
Nudibranchia indet.,Nudibranchia
PISCES,Pisces
POLYCHAETA, Havbørsteorme,Polychaeta
Pachycerianthus multiplicatus,Pachycerianthus multiplicatus
Petaloproctus tenuis borealis,Petaloproctus tenuis borealis
Phascolion strombi,Phascolion strombi
Phoxocephalus holboelli,Phoxocephalus holboelli
Phryganea grandis,Phryganea grandis
Phthisica marina,Phthisica marina
Polychaeta indet.,Polychaeta
Polycladida indet.,Polycladida
Porifera indet.,Porifera
Priapulidae indet.,Priapulidae
Pseudione borealis,Pseudione borealis
Pseudione tuberculata,Pseudione tuberculata
Pseudocuma longicornis,Pseudocuma longicornis
Pseudocuma similis,Pseudocuma similis
Sedentaria indet.,Sedentaria
Spirorbis spirorbis,Spirorbis spirorbis
Syllidae indet.,Syllidae
Terebellida indet.,Terebellida
Terebellides stroemi,Terebellides stroemi
Terebellomorpha indet.,Terebellomorpha
Trichoptera indet.,Trichoptera
